DOE_SCHOOL_CODE	DEEWR_ID	SCHOOL_NAME	LEVEL_OF_ SCHOOLING	SCHOOL_SPECIALITY_TYPE	YEAR_RANGES	PRESCHOOL_INDICATOR	SCHOOL_GENDER	TEACHING_STAFF	NON_TEACHING_STAFF	TOTAL_ENROLMENTS	PHONE	SCHOOL_EMAIL	FAX	LGA	ELECTORATE	FEDERAL_ELECTORATE	ADDRESS	SUBURB	POSTCODE	LATITUDE	LONGITUDE
4569	16170	Robert Townson Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	28	9	537	9824 7411	roberttown-p.School@det.nsw.edu.au	9820 2954	Campbelltown (C)	Macquarie Fields	Macarthur	Shuttleworth Ave	Raby 	2566	-34.016173	150.818892
5563	16259	Passfield Park School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	11	13	67	9820 1700	passfield-s.School@det.nsw.edu.au	9603 6642	Campbelltown (C)	Macquarie Fields	Macarthur	53 Guernsey Avenue	Minto	2566	-34.027163	150.852353
8551	16314	Sarah Redfern High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	35	11	502	9820 1566	sarahredfe-h.School@det.nsw.edu.au	9820 3050	Campbelltown (C)	Macquarie Fields	Macarthur	1 Monaghan Street	Minto	2566	-34.026782	150.85088
8575	16171	Robert Townson High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	62	18	822	9824 7777	roberttown-h.School@det.nsw.edu.au	9820 2921	Campbelltown (C)	Macquarie Fields	Macarthur	Thunderbolt Drive	Raby 	2566	-34.01533	150.817995
2704	10217	Narellan Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	4	356	4646 1223	narellan-p.School@det.nsw.edu.au	4647 1551	Camden (A)	Camden	Hume	Camden Valley Way	Narellan	2567	-34.042764	150.733769
4597	15113	Mount Annan Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	30	5	645	4647 2380	mountannan-p.School@det.nsw.edu.au	4647 2382	Camden (A)	Camden	Hume	Stenhouse Drive	Mount Annan 	2567	-34.061714	150.760497
4621	15820	Narellan Vale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	37	5	841	4647 5291	narellanva-p.School@det.nsw.edu.au	4647 4507	Camden (A)	Camden	Hume	Waterworth Drive	Narellan Vale 	2567	-34.056129	150.744718
4625	16627	Currans Hill Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	28	6	581	4648 5910	curranshil-p.School@det.nsw.edu.au	4648 5913	Camden (A)	Camden	Macarthur	Tramway Drive	Currans Hill 	2567	-34.04785	150.769197
4628	16641	Harrington Park Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	35	6	746	4647 7116	harringtnp-p.school@det.nsw.edu.au	4647 6617	Camden (A)	Camden	Macarthur	2 Sir Warwick Fairfax Drive	Harrington Park	2567	-34.027145	150.738527
4657	30332	Spring Farm Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	#N/A	#N/A	NULL	NULL	springfarm-p.school@det.nsw.edu.au	NULL	Camden (A)	Camden	Hume	Barley Road Spring Farm NSW 2567	NULL	2567	-34.069638	150.714957
8286	17057	Mount Annan High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	54	16	652	4648 0111	mountannan-h.School@det.nsw.edu.au	4648 0042	Camden (A)	Camden	Hume	248 Welling Drive	Mount Annan 	2567	-34.057371	150.760739
8584	15114	Elizabeth Macarthur High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	64	16	1006	4646 1899	elizabeth-h.School@det.nsw.edu.au	4647 1569	Camden (A)	Camden	Hume	Waterworth Drive	Narellan 	2567	-34.057072	150.740091
5429	24079	Camden Park Environmental Education Centre	Environmental Education Centre	Comprehensive	Environmental Education Centre (formerly Field Studies Centres)	N	Coed	1	2	NULL	4636 6313	camdenpk-e.School@det.nsw.edu.au	4636 6342	Wollondilly (A)	Wollondilly	Hume	Finns Rd & Remembrance Drive	Menangle 	2568	-34.120004	150.709685
1770	10218	Douglas Park Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	8	4	145	4632 7261	douglaspk-p.School@det.nsw.edu.au	4632 7440	Wollondilly (A)	Wollondilly	Hume	111 Camden Rd	Douglas Park 	2569	-34.179484	150.713038
1482	10220	Camden Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	18	8	290	4655 8049	camden-p.School@det.nsw.edu.au	4655 3269	Camden (A)	Camden	Hume	John St	Camden 	2570	-34.051998	150.693236
1537	10222	Cawdor Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	4	4	66	4636 6133	cawdor-p.School@det.nsw.edu.au	4636 6365	Wollondilly (A)	Wollondilly	Hume	865 Cawdor Rd	Camden 	2570	-34.109711	150.673727
1580	10223	Cobbitty Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	12	4	255	4651 2262	cobbitty-p.School@det.nsw.edu.au	4651 2686	Camden (A)	Camden	Hume	Cobbitty Rd	Cobbitty 	2570	-34.0159	150.685938
2640	10226	Mount Hunter Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	47	4654 5266	mthunter-p.School@det.nsw.edu.au	4654 5485	Wollondilly (A)	Wollondilly	Hume	165 Burragorang Rd	Camden 	2570	-34.07177	150.63643
2789	10227	Oakdale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	9	4	164	4659 6251	oakdale-p.School@det.nsw.edu.au	4659 6400	Wollondilly (A)	Wollondilly	Hume	Burragorang Rd	Oakdale 	2570	-34.078907	150.508197
2793	10228	The Oaks Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	4	323	4657 1185	theoaks-p.School@det.nsw.edu.au	4657 1704	Wollondilly (A)	Wollondilly	Hume	Burragorang St	The Oaks 	2570	-34.078385	150.571724
4286	10221	Camden South Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	35	8	782	4655 2633	camdensth-p.School@det.nsw.edu.au	4655 3267	Camden (A)	Camden	Hume	Hume Hwy	Camden 	2570	-34.069741	150.69563
4466	10225	Mawarra Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	20	4	430	4658 0990	mawarra-p.School@det.nsw.edu.au	4658 0223	Camden (A)	Camden	Hume	Macarthur Rd	Camden	2570	-34.061245	150.7122
4646	28165	Elderslie Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	21	7	444	4658 1632	elderslie-p.school@det.nsw.edu.au	4658 1834	Camden (A)	Camden	Hume	170 Lodges Road	Elderslie	2570	-34.054473	150.721773
4651	30137	Oran Park Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	6	290	4632 4651	oranpark-p.school@det.nsw.edu.au	4632 4600	Camden (A)	Camden	Macarthur	390 South Circuit	Oran Park	2570	-34.008656	150.7331999
5667	24094	Wooglemai Environmental Education Centre	Environmental Education Centre	Comprehensive	Environmental Education Centre (formerly Field Studies Centres)	N	Coed	2	2	NULL	4680 9483	wooglemai-e.School@det.nsw.edu.au	4680 9486	Wollondilly (A)	Wollondilly	Hume	Sheehys Creek Rd	Oakdale 	2570	-34.134567	150.499162
8217	10219	Camden High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	72	18	1062.3	4655 9191	camden-h.School@det.nsw.edu.au	4655 2438	Camden (A)	Camden	Hume	300 Cawdor Rd	Camden 	2570	-34.0768	150.6785
8521	10224	Elderslie High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	63	13	947.8	4658 1110	elderslie-h.School@det.nsw.edu.au	4658 0219	Camden (A)	Camden	Hume	48 Hilder Street	Elderslie	2570	-34.052603	150.715295
1460	10229	Buxton Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	9	3	180	4681 8229	buxton-p.school@det.nsw.edu.au	4681 0429	Wollondilly (A)	Wollondilly	Hume	Hassall Rd	Buxton 	2571	-34.246971	150.544826
2867	10231	Picton Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	25	8	430	4677 1497	picton-p.School@det.nsw.edu.au	4677 2103	Wollondilly (A)	Wollondilly	Hume	Lumsdaine St	Picton 	2571	-34.17624	150.609346
4650	28167	Wilton Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	5	266	02 46308006	wilton-p.school@det.nsw.edu.au	02 46308029	Wollondilly (A)	Wollondilly	Hume	11 Greenbridge Drive	Wilton	2571	-34.229782	150.686362
8215	10230	Picton High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	81	19	1141.7	4677 1242	picton-h.School@det.nsw.edu.au	4677 1559	Wollondilly (A)	Wollondilly	Hume	480 Argyle St	Picton 	2571	-34.194467	150.608418
3200	10232	Thirlmere Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	19	6	375	4681 8476	thirlmere-p.School@det.nsw.edu.au	4681 8727	Wollondilly (A)	Wollondilly	Hume	Oaks Rd	Thirlmere 	2572	-34.204832	150.569311
3148	10233	Tahmoor Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	19	8	372	4681 8979	tahmoor-p.School@det.nsw.edu.au	4683 1067	Wollondilly (A)	Wollondilly	Hume	Bronzewing St	Tahmoor 	2573	-34.227663	150.588951
1134	10234	Bargo Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	20	6	362	4684 1396	bargo-p.School@det.nsw.edu.au	02 4684 3781	Wollondilly (A)	Wollondilly	Hume	Southern Rd	Bargo 	2574	-34.292889	150.58274
3537	10235	Yanderra Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	48	4684 1377	yanderra-p.School@det.nsw.edu.au	4684 2374	Wollondilly (A)	Wollondilly	Hume	16 Yanderra Rd	Yanderra 	2574	-34.320475	150.571244
1085	16197	Colo Vale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	3	237	4889 4250	colovale-p.School@det.nsw.edu.au	4889 4285	Wingecarribee (A)	Wollondilly	Hume	Wattle St	Colo Vale 	2575	-34.401281	150.476178
2166	10237	Hill Top Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	12	6	182	4889 8227	hilltop-p.School@det.nsw.edu.au	4889 8224	Wingecarribee (A)	Wollondilly	Hume	Linda St	Hill Top 	2575	-34.354826	150.491396
2581	10238	Mittagong Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	22	9	467	4871 1020	mittagong-p.School@det.nsw.edu.au	4872 1460	Wingecarribee (A)	Wollondilly	Whitlam	21 Pioneer St	Mittagong 	2575	-34.448044	150.44438
5576	17882	Highlands School	Schools for Specific Purposes	Comprehensive	Behaviour Disorder	N	Coed	6	6	33	4872 3088	highlands-s.School@det.nsw.edu.au	4872 3800	Wingecarribee (A)	Wollondilly	Whitlam	Bong Bong Rd	Mittagong 	2575	-34.455042	150.477057
5684	16284	Tangara School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	6	6	24	4871 1636	tangara-s.School@det.nsw.edu.au	4872 1463	Wingecarribee (A)	Wollondilly	Whitlam	Bong Bong Rd	Mittagong 	2575	-34.451869	150.469424
1335	10240	Bowral Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	27	4	578	4861 1086	bowral-p.School@det.nsw.edu.au	4862 1004	Wingecarribee (A)	Wollondilly	Whitlam	Bendooley St	Bowral 	2576	-34.481178	150.419191
2015	10241	Glenquarry Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	24	4887 1205	glenquarry-p.School@det.nsw.edu.au	4887 1353	Wingecarribee (A)	Wollondilly	Whitlam	Tourist Rd	Glenquarry 	2576	-34.522335	150.483539
2255	10242	Kangaloon Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	34	4888 2215	kangaloon-p.school@det.nsw.edu.au	4888 2372	Wingecarribee (A)	Goulburn	Whitlam	Robertson St	Kangaloon 	2576	-34.552607	150.529555
8104	10239	Bowral High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	62	16	849	4861 2255	bowral-h.School@det.nsw.edu.au	4861 2184	Wingecarribee (A)	Wollondilly	Whitlam	Park & Aitken Rds	Bowral 	2576	-34.488816	150.423432
1081	10243	Avoca Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	1	25	4887 7224	avoca-p.School@det.nsw.edu.au	4887 7380	Wingecarribee (A)	Goulburn	Whitlam	Sheepwash Rd	Avoca	2577	-34.612697	150.479766
1209	10244	Berrima Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	7	3	136	4877 1262	berrima-p.School@det.nsw.edu.au	4877 1041	Wingecarribee (A)	Goulburn	Whitlam	Oxley St	Berrima 	2577	-34.485882	150.340775
1445	10245	Burrawang Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	29	4886 4261	burrawang-p.School@det.nsw.edu.au	4886 4248	Wingecarribee (A)	Goulburn	Whitlam	Church St	Burrawang 	2577	-34.592222	150.51725
2256	10246	Kangaroo Valley Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	6	4	97	4465 1182	kangaroova-p.School@det.nsw.edu.au	4465 1207	Shoalhaven (C)	Kiama	Gilmore	Moss Vale-Nowra Rd	Kangaroo Valley 	2577	-34.73652	150.531996
2631	10248	Moss Vale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	34	10	533	4868 1866	mossvale-p.School@det.nsw.edu.au	4869 1116	Wingecarribee (A)	Goulburn	Whitlam	Browley St	Moss Vale 	2577	-34.550639	150.366434
2971	10249	Robertson Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	8	4	160	4885 1284	robertson-p.school@det.nsw.edu.au	4885 1119	Wingecarribee (A)	Goulburn	Whitlam	(PO Box 3121)47-53 Hoddle Street	Robertson	2577	-34.589625	150.592483
8388	10247	Moss Vale High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	48	14	607.8	4868 1717	mossvale-h.School@det.nsw.edu.au	4868 2787	Wingecarribee (A)	Goulburn	Whitlam	Narellan Rd	Moss Vale 	2577	-34.551483	150.385294
1414	10251	Bundanoon Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	9	3	177	4883 6192	bundanoon-p.School@det.nsw.edu.au	4883 6799	Wingecarribee (A)	Goulburn	Hume	Church St	Bundanoon 	2578	-34.657878	150.300442
1891	10253	Exeter Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	4	1	98	4883 4280	exeter-p.School@det.nsw.edu.au	4883 4085	Wingecarribee (A)	Goulburn	Hume	School Rd	Exeter 	2579	-34.61612	150.321828
2496	10260	Marulan Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	5	3	102	4841 1573	marulan-p.school@det.nsw.edu.au	4841 1847	Goulburn Mulwaree (A)	Goulburn	Hume	63 George St	Marulan 	2579	-34.713399	150.006603
2860	10264	Penrose Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	20	4884 4238	penrose-p.School@det.nsw.edu.au	4884 4493	Wingecarribee (A)	Goulburn	Hume	Penrose Rd	Penrose	2579	-34.669731	150.221344
3154	10265	Tallong Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	3	59	4841 0292	tallong-p.School@det.nsw.edu.au	4841 0240	Goulburn Mulwaree (A)	Goulburn	Hume	Bumballa St	Tallong	2579	-34.721496	150.083341
3461	10270	Wingello Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	39	4884 4317	wingello-p.School@det.nsw.edu.au	4884 4499	Wingecarribee (A)	Goulburn	Hume	Murrimba Rd	Wingello 	2579	-34.688162	150.153487
2053	10257	Goulburn Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	9	4	164	4821 2827	goulburn-p.School@det.nsw.edu.au	4822 1395	Goulburn Mulwaree (A)	Goulburn	Hume	Bourke St	Goulburn 	2580	-34.750563	149.717773
2054	10254	Goulburn East Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	6	5	136	4821 4007	goulburne-p.School@det.nsw.edu.au	4822 1381	Goulburn Mulwaree (A)	Goulburn	Hume	Eleanor St	Goulburn 	2580	-34.7626	149.730388
2055	10256	Goulburn North Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	13	3	311	4821 3838	goulburnn-p.School@det.nsw.edu.au	4822 1357	Goulburn Mulwaree (A)	Goulburn	Hume	Union St	Goulburn North 	2580	-34.744579	149.735043
2056	10258	Goulburn South Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	6	155	4821 2759	goulburns-p.School@det.nsw.edu.au	4822 1435	Goulburn Mulwaree (A)	Goulburn	Hume	Addison St	Goulburn 	2580	-34.76004	149.712314
3162	10266	Tarago Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	1	33	4849 4418	tarago-p.School@det.nsw.edu.au	4849 4462	Goulburn Mulwaree (A)	Goulburn	Hume	Goulburn-Braidwood Rd	Tarago 	2580	-35.067671	149.654751
3163	10267	Taralga Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	38	4840 2047	taralga-p.School@det.nsw.edu.au	4840 2152	Upper Lachlan Shire (A)	Goulburn	Hume	Orchard St	Taralga 	2580	-34.397974	149.820962
3222	10268	Tirranna Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	1	18	4821 4645	tirranna-p.School@det.nsw.edu.au	4821 4363	Goulburn Mulwaree (A)	Goulburn	Hume	Goulburn-Braidwood Rd	Goulburn 	2580	-34.821486	149.682068
3457	10269	Windellama Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	27	4844 5130	windellama-p.School@det.nsw.edu.au	4844 5265	Goulburn Mulwaree (A)	Goulburn	Hume	Goulburn-Windellama Rd	Goulburn	2580	-35.009988	149.833521
3741	10259	Goulburn West Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	6	402	4821 1781	goulburnw-p.School@det.nsw.edu.au	4822 1460	Goulburn Mulwaree (A)	Goulburn	Hume	Combermere St	Goulburn 	2580	-34.759172	149.700707
4406	10252	Bradfordville Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	12	4	263	4821 4936	bradfordvi-p.school@det.nsw.edu.au	4821 9899	Goulburn Mulwaree (A)	Goulburn	Hume	10 Hampden Street	Goulburn	2580	-34.723022	149.739879
4438	10271	Wollondilly Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	20	7	342	4821 4496	wollondill-p.School@det.nsw.edu.au	4821 4462	Goulburn Mulwaree (A)	Goulburn	Hume	Newton & Hoskins Sts	Goulburn 	2580	-34.742953	149.710904
5634	16285	The Crescent School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	8	12	68	4821 3680	crescent-s.School@det.nsw.edu.au	4821 1224	Goulburn Mulwaree (A)	Goulburn	Hume	Fitzroy St	Goulburn 	2580	-34.744593	149.710549
8116	10255	Goulburn High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	52	14	635.4	4821 4022	goulburn-h.School@det.nsw.edu.au	4822 1437	Goulburn Mulwaree (A)	Goulburn	Hume	Goldsmith St	Goulburn 	2580	-34.746861	149.711241
8468	10263	Mulwaree High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	53	14	823.2	4821 4499	mulwaree-h.School@det.nsw.edu.au	4822 1432	Goulburn Mulwaree (A)	Goulburn	Hume	40 McDermott Drive	Goulburn 	2580	-34.728245	149.730169
1345	10272	Breadalbane Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	1	12	4844 2243	breadalban-p.School@det.nsw.edu.au	4844 2225	Upper Lachlan Shire (A)	Goulburn	Hume	Collector Road	Breadalbane	2581	-34.790546	149.487576
1590	10273	Collector Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	4	1	35	4848 0024	collector-p.School@det.nsw.edu.au	4848 0102	Upper Lachlan Shire (A)	Goulburn	Hume	Lorn St	Collector	2581	-34.914221	149.433144
1723	10274	Dalton Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	15	4845 6210	dalton-p.School@det.nsw.edu.au	4845 6203	Upper Lachlan Shire (A)	Goulburn	Hume	Jobson St	Dalton 	2581	-34.720369	149.17882
2111	10275	Gunning Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	3	58	4845 1129	gunning-p.School@det.nsw.edu.au	4845 1236	Upper Lachlan Shire (A)	Goulburn	Hume	Yass St	Gunning 	2581	-34.783525	149.265602
1334	10277	Bowning Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	34	6227 6093	bowning-p.School@det.nsw.edu.au	6227 6121	Yass Valley (A)	Goulburn	Eden-Monaro	147 Bowning Road	Bowning 	2582	-34.769376	148.81153
3412	10278	Wee Jasper Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	0	2	12	6227 9652	weejasper-p.School@det.nsw.edu.au	6227 9617	Yass Valley (A)	Goulburn	Eden-Monaro	6443 Wee Jasper Rd	Wee Jasper 	2582	-35.108785	148.673792
3549	10280	Yass Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	11	4	248	6226 1017	yass-p.School@det.nsw.edu.au	6226 3258	Yass Valley (A)	Goulburn	Eden-Monaro	Laidlaw St	Yass 	2582	-34.837588	148.906865
4450	10276	Berinba Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	17	7	301	6226 2110	berinba-p.School@det.nsw.edu.au	6226 3194	Yass Valley (A)	Goulburn	Eden-Monaro	Church St	Yass 	2582	-34.849095	148.918959
8334	10279	Yass High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	44	11	483.2	6226 1711	yass-h.School@det.nsw.edu.au	6226 3174	Yass Valley (A)	Goulburn	Eden-Monaro	Grampian St	Yass 	2582	-34.835474	148.911066
1223	10416	Bigga Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	1	5	4835 2236	bigga-p.School@det.nsw.edu.au	4835 2246	Upper Lachlan Shire (A)	Goulburn	Hume	Blackman St	Bigga 	2583	-34.0847	149.144602
1231	10417	Binda Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	3	11	4835 6052	binda-p.School@det.nsw.edu.au	4835 6092	Upper Lachlan Shire (A)	Goulburn	Hume	Queen St	Binda 	2583	-34.331463	149.368114
1684	10281	Crookwell Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	10	4	217	4832 1213	crookwell-p.School@det.nsw.edu.au	4832 1353	Upper Lachlan Shire (A)	Goulburn	Hume	Denison St	Crookwell 	2583	-34.459938	149.469806
2354	10420	Laggan Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	32	4837 3215	laggan-p.School@det.nsw.edu.au	4837 3227	Upper Lachlan Shire (A)	Goulburn	Hume	Laggan Rd	Laggan 	2583	-34.406246	149.527721
3012	10419	Rugby Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	6	4835 7241	rugby-p.School@det.nsw.edu.au	4835 7205	Boorowa (A)	Goulburn	Hume	Boorowa-Crookwell Rd	Rugby 	2583	-34.392245	148.992695
8452	6388	Crookwell High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	25	10	253	4832 1421	crookwell-h.School@det.nsw.edu.au	4832 1966	Upper Lachlan Shire (A)	Goulburn	Hume	Crown Street	Crookwell	2583	-34.452754	149.466967
1230	10282	Binalong Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	23	6227 4381	binalong-p.School@det.nsw.edu.au	6227 4380	Yass Valley (A)	Goulburn	Eden-Monaro	Dickinson Street	Binalong	2584	-34.670108	148.625718
1313	10284	Boorowa Central School	Central/Community School	Comprehensive	Kinder to Year 12	N	Coed	21	9	238.6	6385 3009	boorowa-c.School@det.nsw.edu.au	6385 3409	Boorowa (A)	Goulburn	Hume	Pudman St	Boorowa 	2586	-34.436712	148.726108
2681	10289	Murringo Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	28	6384 6351	murringo-p.School@det.nsw.edu.au	6384 6322	Young (A)	Cootamundra	Riverina	91 Murringo Gap Road	Murringo	2586	-34.297202	148.515471
3024	10301	Rye Park Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	3	19	6227 2251	ryepark-p.School@det.nsw.edu.au	6227 2256	Boorowa (A)	Goulburn	Hume	Dalton Rd	Rye Park 	2586	-34.521629	148.906651
2685	10286	Murrumburrah Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	6	3	131	6386 2209	murrumburr-p.School@det.nsw.edu.au	6386 2993	Harden (A)	Cootamundra	Riverina	Albury Street	Murrumburrah	2587	-34.550826	148.359862
3482	10287	Wombat Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	1	23	6384 3290	wombat-p.School@det.nsw.edu.au	6384 3214	Harden (A)	Cootamundra	Riverina	Rose St	Wombat 	2587	-34.426627	148.245202
8328	6418	Murrumburrah High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	20	7	152	6386 2755	murrumburr-h.School@det.nsw.edu.au	6386 3048	Harden (A)	Cootamundra	Riverina	Smith St	Harden 	2587	-34.559162	148.369808
3353	10288	Wallendbeen Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	23	6943 2568	wallendbee-p.School@det.nsw.edu.au	6943 2654	Cootamundra (A)	Cootamundra	Riverina	King St	Wallendbeen 	2588	-34.52524	148.159228
1636	10291	Cootamundra Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	3	284	6942 1402	cootamundr-p.School@det.nsw.edu.au	6942 4187	Cootamundra (A)	Cootamundra	Riverina	Cooper St	Cootamundra	2590	-34.638914	148.026809
2203	10293	Illabo Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	3	26	6924 5475	illabo-p.School@det.nsw.edu.au	6924 5432	Junee (A)	Cootamundra	Riverina	1 Layton Street	Illabo	2590	-34.814002	147.741165
4383	10292	E A Southee Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	11	3	181	6942 1669	easouthee-p.School@det.nsw.edu.au	6942 4190	Cootamundra (A)	Cootamundra	Riverina	Poole St	Cootamundra	2590	-34.64182	148.014878
8190	6416	Cootamundra High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	31	9	306	6942 2711	cootamundr-h.school@det.nsw.edu.au	6942 1516	Cootamundra (A)	Cootamundra	Riverina	Poole St	Cootamundra 	2590	-34.635419	148.017191
1354	10295	Bribbaree Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	13	6383 2308	bribbaree-p.School@det.nsw.edu.au	6383 2248	Young (A)	Cootamundra	Riverina	Weedallion St	Bribbaree 	2594	-34.12042	147.874699
2448	10296	Maimuru Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	18	6383 3219	maimuru-p.School@det.nsw.edu.au	6383 3289	Young (A)	Cootamundra	Riverina	Jack Masling Dr	Maimuru 	2594	-34.243066	148.214319
2599	10297	Monteagle Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	3	14	6383 6207	monteagle-p.School@det.nsw.edu.au	6383 6286	Young (A)	Cootamundra	Riverina	Murringo St	Monteagle 	2594	-34.192994	148.34725
3563	10300	Young Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	26	9	558	6382 2453	young-p.School@det.nsw.edu.au	6382 4056	Young (A)	Cootamundra	Riverina	Bruce St	Young 	2594	-34.321407	148.290231
4131	10299	Young North Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	4	270	6382 2579	youngnorth-p.School@det.nsw.edu.au	6382 3002	Young (A)	Cootamundra	Riverina	William St	Young 	2594	-34.311036	148.305408
8155	10298	Young High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	42	12	523.4	6382 1166	young-h.School@det.nsw.edu.au	6382 1960	Young (A)	Cootamundra	Riverina	Campbell St	Young 	2594	-34.317142	148.291705
